Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
Other Wards,3071626,2712391,1890877,975708,954414,589585,0.883,0.697,0.516,0.978,364609,0.382,0.192,120007713,10.37,175.04,7190364
Shantala Nagar,2401161,2384599,2067653,856568,841607,474271,0.993,0.867,0.414,0.983,367010,0.436,0.198,71177412,7.48,138.74,3863534
Doddakanahalli,1727250,1711471,1456511,596480,587089,350792,0.991,0.851,0.409,0.984,236139,0.402,0.203,59211778,9.02,159.54,3354728
Agara,1226026,1214797,1043176,520539,508562,336728,0.991,0.859,0.499,0.977,171714,0.338,0.275,47568017,7.63,137.67,2633026
Koramangala,1169452,1158300,994218,528008,515062,334904,0.991,0.858,0.531,0.975,180001,0.349,0.286,44596808,6.97,128.74,2437405
Adugodi,1191234,1182173,1005962,536543,522711,313312,0.992,0.851,0.533,0.974,209053,0.4,0.263,43890701,7.02,131.45,2338615
Suddagunte Palya,1320628,1308932,1126624,542706,530825,296399,0.991,0.861,0.482,0.978,234284,0.441,0.224,39411590,7.11,129.98,2174999
Vasanth Nagar,962005,955421,795373,423856,416058,262534,0.993,0.832,0.533,0.982,153393,0.369,0.273,35920222,7.4,132.98,2032705
Bellanduru,1365703,1354563,1176030,447575,440185,257849,0.992,0.868,0.381,0.983,182240,0.414,0.189,44694374,9.17,160.63,2550817
Hoysala Nagar,703222,698197,586782,331654,326166,217110,0.993,0.84,0.565,0.983,108961,0.334,0.309,27898914,6.37,119.8,1504039
Byrasandra,624214,618914,500722,314383,308615,208058,0.992,0.809,0.628,0.982,100479,0.326,0.333,24700142,6.28,113.2,1372034
Old Thippasandra,633865,628921,541589,315579,310219,203512,0.992,0.861,0.583,0.983,106602,0.344,0.321,27716600,7.01,129.86,1493473
Marathahalli,1129332,1120935,942426,375796,369706,202837,0.993,0.841,0.399,0.984,166767,0.451,0.18,35748713,9.01,160.03,2011710
Domlur,703108,698041,602252,313868,308639,201305,0.993,0.863,0.521,0.983,107215,0.347,0.286,28037082,7.06,130.78,1507904
HRBR Layout,495908,493395,399052,284677,280474,194414,0.995,0.809,0.713,0.985,85982,0.307,0.392,24694375,6.66,120.75,1365275
Sampangiram Nagar,918287,911485,763612,361001,355542,188850,0.993,0.838,0.473,0.985,166584,0.469,0.206,28029607,7.69,137.83,1592800
Madivala,751268,742961,621190,322177,315216,187691,0.989,0.836,0.519,0.978,127466,0.404,0.25,23498153,6.69,123.51,1283390
Gandhinagar,583453,577642,409590,298294,292759,183335,0.99,0.709,0.728,0.981,109334,0.374,0.314,27800422,8.46,153.09,1574607
Aramane Nagara,546489,542221,416957,285980,279386,180884,0.992,0.769,0.686,0.977,98438,0.352,0.331,24979189,7.22,128.38,1425382
Jakkuru,629076,624824,485812,297748,291553,179670,0.993,0.778,0.613,0.979,111831,0.384,0.286,29913410,8.89,154.35,1743306
Vinayakanagar,564655,559717,461557,280715,275406,173474,0.991,0.825,0.608,0.981,101845,0.37,0.307,23202000,7.48,133.85,1292724
J P Nagar,526581,522247,423506,272513,266903,172802,0.992,0.811,0.643,0.979,93999,0.352,0.328,21453148,6.45,116.66,1186151
Whitefield,838663,831606,684364,286103,281317,170977,0.992,0.823,0.418,0.983,110293,0.392,0.204,29280129,8.52,151.14,1679399
Munnekollala,993367,983688,831207,302856,297146,166505,0.99,0.845,0.364,0.981,130590,0.44,0.168,29576393,9.04,159.13,1687327
Ejipura,595161,589132,496076,273619,268768,163779,0.99,0.842,0.552,0.982,104902,0.39,0.275,21092572,6.47,122.29,1148191
Jeevanbhima Nagar,658033,652625,563304,269919,264220,160433,0.992,0.863,0.479,0.979,103743,0.393,0.244,24369066,8.39,149.77,1367391
Kempapura,467690,464839,360926,240038,235067,150852,0.994,0.776,0.665,0.979,84173,0.358,0.323,22886452,8.28,145.63,1322285
HSR - Singasandra,633334,627352,520343,255679,250108,145339,0.991,0.829,0.491,0.978,104704,0.419,0.229,21487915,7.91,141.29,1209859
Shakambari Nagar,404779,401530,310798,215522,211098,143850,0.992,0.774,0.693,0.979,67203,0.318,0.355,16847054,6.29,114.15,935402
New Thippasandra,514162,509398,430195,216416,212511,141334,0.991,0.845,0.503,0.982,71126,0.335,0.275,20334402,7.57,135.66,1138133
Hudi,624101,619409,505072,241433,237996,139066,0.993,0.815,0.478,0.986,98878,0.415,0.223,24067402,8.59,152.37,1376861
Ulsoor,591305,586928,509987,234286,231034,137688,0.993,0.869,0.459,0.986,93291,0.404,0.233,19496628,7.28,132.34,1087433
Horamavu,474215,471298,373096,217363,213193,134402,0.994,0.792,0.583,0.981,78766,0.37,0.283,21419228,8.54,149.94,1243702
C V Raman Nagar,553745,549626,443121,223614,220398,133108,0.993,0.806,0.505,0.986,87237,0.396,0.24,18927535,7.35,132.29,1061714
BTM Layout,592216,586375,486876,231084,225865,131673,0.99,0.83,0.475,0.977,94148,0.417,0.222,17159245,6.85,126.39,944612
AECS Layout,676398,671200,554146,225651,222152,131372,0.992,0.826,0.407,0.984,90735,0.408,0.194,21664546,7.79,141.87,1221715
Banasavadi,399496,396889,320276,196872,193129,129571,0.994,0.807,0.615,0.981,63520,0.329,0.324,18119313,7.33,131.58,1027738
Hennur,415505,412861,318728,206331,202957,129335,0.994,0.772,0.647,0.984,73580,0.363,0.311,18050307,7.26,130.63,1026125
N S Palya,467723,462917,382404,202109,197602,128229,0.99,0.826,0.528,0.978,69328,0.351,0.274,16804588,7.29,131.77,932215
Dodda Nekkundi,607388,602318,496200,214444,210757,127586,0.992,0.824,0.432,0.983,83119,0.394,0.21,21582457,8.44,148.42,1235186
Jnana Bharathi,319314,316723,227074,186083,182666,125721,0.992,0.717,0.82,0.982,56904,0.311,0.394,16382506,7.13,124.87,947899
Sarakki,340594,337939,269400,193160,188967,125071,0.992,0.797,0.717,0.978,63821,0.338,0.367,14915086,6.07,111.14,813727
Subramanyapura,355850,352874,269420,186568,182249,124196,0.992,0.764,0.693,0.977,58020,0.318,0.349,17248916,7.97,139.95,998378
Pulikeshinagar,372621,370303,305602,186689,184193,122558,0.994,0.825,0.611,0.987,61553,0.334,0.329,14606750,5.85,110.85,795966
Kalkere,474310,471110,380594,195394,192404,121528,0.993,0.808,0.513,0.985,70832,0.368,0.256,19739152,8.75,154.38,1134101
Ibluru,529396,524454,451357,196173,192428,120717,0.991,0.861,0.435,0.981,71676,0.373,0.228,18702426,8.26,146.46,1052691
Kalena Agrahara,470987,465367,374447,189087,185254,120613,0.988,0.805,0.505,0.98,64607,0.349,0.256,20590403,9.98,172.89,1198826
Vishveshwara Puram,387229,384832,294439,190086,186643,120170,0.994,0.765,0.646,0.982,66426,0.356,0.31,14185350,6.65,120.04,795860
Rajarajeshwari Nagar,297997,295464,208838,174366,170354,119567,0.992,0.707,0.835,0.977,50761,0.298,0.401,17302405,7.97,137.66,1013757
Hulimavu,399563,395970,317072,186245,182318,119094,0.991,0.801,0.587,0.979,63188,0.347,0.298,17254752,7.91,141.18,979150
Mahadevapura,519993,516186,422924,197874,195067,116959,0.993,0.819,0.468,0.986,78061,0.4,0.225,18052185,7.57,137.16,1018123
Belathur,473171,468835,359181,189652,186679,115788,0.991,0.766,0.528,0.984,70818,0.379,0.245,19751448,8.71,153.6,1138460
Rupenaagrahara,468424,464133,386058,195007,190728,111611,0.991,0.832,0.505,0.978,79081,0.415,0.238,16717199,7.96,142.96,948513
Byatarayanapura,326788,324286,247453,172205,168796,110246,0.992,0.763,0.696,0.98,58518,0.347,0.337,17387578,8.48,148.43,1012272
Jogupalya,352576,349570,298481,165972,163111,108242,0.992,0.854,0.556,0.983,54840,0.336,0.307,13870184,6.39,118.33,764262
Hemmigepura,324225,318922,224149,161678,158827,106777,0.984,0.703,0.721,0.982,52002,0.327,0.329,15755609,8.48,146.23,924865
Babusab Palya,387542,384927,315006,171652,168721,105895,0.993,0.818,0.545,0.983,62790,0.372,0.273,15117374,7.23,131.09,854485
Kogilu,323620,320789,221308,164071,159915,104384,0.991,0.69,0.741,0.975,55521,0.347,0.323,20501848,11.34,190.25,1229470
